source=saola.svg
graph_vertices=202
graph_edges=284
cells_total=78
cells_to_pack=78

id	area	vertex_count	pack
0	72612.164	117	1
1	844.000	13	1
2	1188.000	5	1
3	1513.500	5	1
4	1082.000	4	1
5	1190.000	6	1
6	984.000	5	1
7	1218.500	6	1
8	713.000	4	1
9	854.000	4	1
10	1431.623	10	1
11	930.927	8	1
12	0.477	3	1
13	379.500	6	1
14	1204.413	9	1
15	1016.237	8	1
16	1496.000	8	1
17	785.500	8	1
18	899.203	8	1
19	827.895	5	1
20	1350.305	19	1
21	3.687	4	1
22	932.500	4	1
23	1396.500	4	1
24	599.000	3	1
25	644.000	3	1
26	766.000	5	1
27	363.000	4	1
28	6.500	3	1
29	1412.000	10	1
30	1194.500	5	1
31	1280.500	5	1
32	1960.000	5	1
33	1576.500	6	1
34	1399.400	4	1
35	1344.979	7	1
36	1474.940	7	1
37	880.000	8	1
38	1895.500	5	1
39	1663.500	6	1
40	1382.000	4	1
41	1556.000	6	1
42	1196.000	6	1
43	671.500	8	1
44	1209.000	5	1
45	1287.500	6	1
46	735.500	7	1
47	660.500	6	1
48	760.500	6	1
49	575.000	4	1
50	725.000	4	1
51	627.500	6	1
52	715.500	5	1
53	1045.000	5	1
54	890.028	5	1
55	745.500	4	1
56	1501.000	7	1
57	666.000	5	1
58	403.000	4	1
59	85.000	3	1
60	331.000	4	1
61	654.000	6	1
62	540.000	7	1
63	1018.500	5	1
64	1090.000	7	1
65	855.000	5	1
66	632.000	4	1
67	1696.500	7	1
68	727.000	5	1
69	886.000	6	1
70	610.500	4	1
71	599.000	6	1
72	1992.500	6	1
73	586.500	5	1
74	695.500	5	1
75	524.000	5	1
76	605.000	6	1
77	430.000	4	1
