 * Serving Flask app 'server'
 * Debug mode: on
[08:08:10] pack_svg zones 1/120
[08:08:10] pack_svg zones 12/120
[08:08:10] pack_svg zones 24/120
[08:08:10] pack_svg zones 36/120
[08:08:10] pack_svg zones 48/120
[08:08:10] pack_svg zones 60/120
[08:08:10] pack_svg zones 72/120
[08:08:10] pack_svg zones 84/120
[08:08:10] pack_svg zones 96/120
[08:08:10] pack_svg zones 108/120
[08:08:10] pack_svg zones 120/120
[08:08:10] pack_svg fill 1/660
[08:08:10] pack_svg fill 66/660
[08:08:10] pack_svg fill 132/660
[08:08:10] pack_svg fill 198/660
[08:08:10] pack_svg fill 264/660
[08:08:10] pack_svg fill 330/660
[08:08:10] pack_svg fill 396/660
[08:08:10] pack_svg fill 462/660
[08:08:10] pack_svg fill 528/660
[08:08:10] pack_svg fill 594/660
[08:08:10] pack_svg fill 660/660
[08:08:10] pack_svg zones 1/120
[08:08:10] pack_svg zones 12/120
[08:08:10] pack_svg zones 24/120
[08:08:10] pack_svg zones 36/120
[08:08:10] pack_svg zones 48/120
[08:08:10] pack_svg zones 60/120
[08:08:10] pack_svg zones 72/120
[08:08:10] pack_svg zones 84/120
[08:08:10] pack_svg zones 96/120
[08:08:10] pack_svg zones 108/120
[08:08:10] pack_svg zones 120/120
[08:08:10] pack_svg fill 1/660
[08:08:10] pack_svg fill 66/660
[08:08:10] pack_svg fill 132/660
[08:08:10] pack_svg fill 198/660
[08:08:10] pack_svg fill 264/660
[08:08:10] pack_svg fill 330/660
[08:08:10] pack_svg fill 396/660
[08:08:10] pack_svg fill 462/660
[08:08:10] pack_svg fill 528/660
[08:08:10] pack_svg fill 594/660
[08:08:10] pack_svg fill 660/660
Wrote regions_log.txt, regions_log.png, zones_log.txt, zones_log.png, packed_log.txt with 660 regions and 120 zones
[08:11:29] pack_svg zones 1/120
[08:11:29] pack_svg zones 12/120
[08:11:29] pack_svg zones 24/120
[08:11:29] pack_svg zones 36/120
[08:11:29] pack_svg zones 48/120
[08:11:29] pack_svg zones 60/120
[08:11:29] pack_svg zones 72/120
[08:11:29] pack_svg zones 84/120
[08:11:29] pack_svg zones 96/120
[08:11:29] pack_svg zones 108/120
[08:11:29] pack_svg zones 120/120
[08:11:29] pack_svg fill 1/660
[08:11:29] pack_svg fill 66/660
[08:11:29] pack_svg fill 132/660
[08:11:29] pack_svg fill 198/660
[08:11:29] pack_svg fill 264/660
[08:11:29] pack_svg fill 330/660
[08:11:29] pack_svg fill 396/660
[08:11:29] pack_svg fill 462/660
[08:11:29] pack_svg fill 528/660
[08:11:29] pack_svg fill 594/660
[08:11:29] pack_svg fill 660/660
[08:11:29] pack_svg zones 1/120
[08:11:29] pack_svg zones 12/120
[08:11:29] pack_svg zones 24/120
[08:11:29] pack_svg zones 36/120
[08:11:29] pack_svg zones 48/120
[08:11:29] pack_svg zones 60/120
[08:11:29] pack_svg zones 72/120
[08:11:29] pack_svg zones 84/120
[08:11:29] pack_svg zones 96/120
[08:11:29] pack_svg zones 108/120
[08:11:29] pack_svg zones 120/120
[08:11:29] pack_svg fill 1/660
[08:11:29] pack_svg fill 66/660
[08:11:29] pack_svg fill 132/660
[08:11:29] pack_svg fill 198/660
[08:11:29] pack_svg fill 264/660
[08:11:29] pack_svg fill 330/660
[08:11:29] pack_svg fill 396/660
[08:11:29] pack_svg fill 462/660
[08:11:29] pack_svg fill 528/660
[08:11:29] pack_svg fill 594/660
[08:11:29] pack_svg fill 660/660
Wrote regions_log.txt, regions_log.png, zones_log.txt, zones_log.png, packed_log.txt with 660 regions and 120 zones
